AADT,YEAR_,ID,CLASSD,SECTION_,COMM,ACTIVE,SITETYPE,DISTRICT,COUNTYDOT,COUNTYNM,MNG_DIST,KFCTR,DFCTR,TFCTR,LOCATION,EPSG4326x,EPSG4326y
77500,2022,870110,Yes,87020000,"SR 5/US-1, 100' S SR 826/PALMETTO EXPWY",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.7,19.876,-80.31835525,25.67736862
32500,2022,875053,No,87030000,"SR 5/US-1, 100' N NE 13 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,3,11.855,-80.18910951,25.78710988
226000,2022,870553,No,87260000,"SR 826/PALMETTO EXPWY, 600' N OKEECHOBEE RD",Y,Portable,6,87,Miami-Dade,6,8,56.7,5.4,12.411,-80.32250528,25.85560617
14500,2022,876029,Yes,87004023,"RAMP 87004023 FROM EB NE 36 ST TO EB I-195, 500' E OF NE 36 ST",Y,Portable,6,87,Miami-Dade,6,8,99.9,2.8,0.095,-80.18431885,25.81077812
31500,2022,870024,No,87281000,"SR 953/LEJEUNE RD, 200' S CORAL WAY/SR 972",Y,Portable,6,87,Miami-Dade,6,9,56.5,6.7,1.546,-80.26270523,25.74890516
12500,2022,872646,No,87060002,INDIAN CREEK DR. 200' SOUTH OF 38 STREET,Y,Portable,6,87,Miami-Dade,6,9,99.9,4.5,0.308,-80.12443661,25.81184089
33500,2022,870431,No,87240000,"SR 9/SW/NW 27 AV, 100' S NW 103 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,6.9,8.759,-80.24245943,25.86687049
9500,2022,875392,Yes,87040101,NW 3 AVENUE 250 FEET S OF NW 5 STREET,Y,Portable,6,87,Miami-Dade,6,9,99.9,2.7,0.273,-80.19951888,25.77804937
40000,2022,871090,No,87072000,"SR 985/SW 107 AV, 200'S TAMIAMI TRL/SW 8 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.2,6.157,-80.3683267,25.76108884
264000,2022,872085,No,87270000,"SR 9A/I-95, 200' N NW 103 ST/SR 932",Y,Portable,6,87,Miami-Dade,6,9,50.7,4.3,8.857,-80.20840628,25.87065597
1600,2022,876010,Yes,87003012,"RAMP 87003012 FROM WB NW 38 ST TO EB SR112, 200' N OF NW 38 ST",Y,Portable,6,87,Miami-Dade,6,8,99.9,21.3,0.038,-80.24215205,25.81182435
4600,2022,876136,Yes,87200096,"RAMP 87200096 FROM NB NW 42 AVE TO EB SR836, 200' E OF NW 42 AVE",Y,Portable,6,87,Miami-Dade,6,8,99.9,3,0.038,-80.26349629,25.78509021
40500,2022,872510,No,87300000,"SR 924/GRATIGNY PKWY, 200' W SR 9/NW 27 AV",Y,Portable,6,87,Miami-Dade,6,9,54.7,5.5,5.2,-80.2459312,25.88281196
28000,2022,870138,No,87008000,"SR 916/NW 135 ST, 200' W LEJEUNE RD",Y,Portable,6,87,Miami-Dade,6,9,54.7,4,3.558,-80.26807068,25.89650255
28000,2022,871233,Yes,87026000,"SR 860/MIAMI GARDENS DR, 200' E RED RD/NW 57 AV",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.3,0.239,-80.28999628,25.93934118
41000,2022,875388,No,87016000,"SR 112/ARTHUR GODFREY RD, 200' W INDIAN CREEK DR",Y,Portable,6,87,Miami-Dade,6,9,54.7,3.4,0.693,-80.1249748,25.81350769
37500,2022,871018,Yes,87037000,"SR 907/ALTON RD, 200' S W 51 ST(MIAMI BEACH)",Y,Portable,6,87,Miami-Dade,6,9,54.7,2.2,3.941,-80.13128465,25.82706922
94500,2022,872065,No,87003000,"SR 112/AIRPORT EXPWY, 200' W NW 32 AV BRIDG",Y,Portable,6,87,Miami-Dade,6,8,56.7,3.4,1.116,-80.26122595,25.80883626
13500,2022,876105,Yes,87170355,"RAMP 87170355 FROM WB NE 167 ST TO NB I-95, 50' N OF NW 2 AVE",Y,Portable,6,87,Miami-Dade,6,8,99.9,6,0.009,-80.20451731,25.93040605
52500,2022,872509,Yes,87134000,SW 137TH AVENUE 500 FT NORTH OF SW 8TH STREET,Y,Portable,6,87,Miami-Dade,6,9,56.5,5,0.095,-80.41705735,25.76234679
43500,2022,870143,Yes,87030000,"SR 5/US-1, 200' S NE 36 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,1.7,15.354,-80.18419604,25.83704696
27000,2022,870004,Yes,87150000,"SR 997/KROME AV, 2200' S OF SW 12 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,15.6,21.448,-80.48086055,25.74732561
17500,2022,870584,Yes,87090000,"SR 25/OKEECHOBEE RD, 200' S MIAMI-DADE/BROWARD CO",Y,Portable,6,87,Miami-Dade,6,9.5,54.7,11.5,0.038,-80.43132238,25.95635638
205000,2022,872036,No,87270000,"SR 9A/I-95, 500' N BRIDGE 870432 - SB CABINET MP (7.462)",Y,Portable,6,87,Miami-Dade,6,9,50.7,4.3,7.481,-80.20774871,25.85068007
39500,2022,875126,Yes,87240000,"SR 9/SW/NW 27 AV, 100' N SW 8 ST/SR 90",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.7,1.757,-80.23878323,25.7654038
49500,2022,870592,Yes,87001000,"SR 94/KENDALL DR, 200' E SW 110 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.6,6.715,-80.37243317,25.68668282
7700,2022,876057,Yes,87021009,"RAMP 87021009 FROM EB SR878 TO SW 72 AVE, 150' E OF SR 878",Y,Portable,6,87,Miami-Dade,6,8,99.9,8,0.028,-80.31102286,25.69552774
54000,2022,870062,No,87001000,"SR 94/KENDALL DR, 1000' E SW 127 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.8,5.161,-80.39735484,25.68588985
39500,2022,875052,No,87030000,"SR 5/US-1, 250' S NE 13 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,11.8,11.784,-80.18902823,25.78609801
57500,2022,870556,Yes,87170000,"SR 826/NE 163 ST, 1700' E SR 5/US-1",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.2,4.031,-80.14843666,25.92595613
2800,2022,876034,Yes,87005033,"RAMP 87005033 FROM SB SR874 TO EB KILLIAN PKWY, 400' S OF SR 874",Y,Portable,6,87,Miami-Dade,6,8,99.9,14.6,0.076,-80.36631909,25.67116253
46500,2022,870026,No,87281000,"SR 953/LEJEUNE RD, 635' N SW 8 ST/SR 90",Y,Portable,6,87,Miami-Dade,6,9,56.5,6.7,2.734,-80.26332846,25.76612035
15100,2022,878487,No,87000329,"E 21 ST, 200 FT W OFE 6 AVE (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,5,0.214,-80.27055607,25.84115562
500,2022,872572,Yes,87020700,"BUSWAY, 500'N OF SW 128TH ST.",Y,Portable,6,87,Miami-Dade,6,9,56.5,73.7,5.96,-80.33037146,25.6527243
35000,2022,870194,Yes,87021000,"SR878,0.15 MI W OF SR 826 @ R193",Y,Portable,6,87,Miami-Dade,6,9,64.8,2.8,1.69,-80.31713151,25.69520902
5100,2022,876016,Yes,87003018,"RAMP 87003018 FROM WB SR112 TO WB NW 41 ST, 200' W OF SR 112",Y,Portable,6,87,Miami-Dade,6,8,99.9,12.4,0.038,-80.22719894,25.81260886
47500,2022,871049,Yes,87044000,"SR 976/BIRD RD, 200' E SW 57 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.2,6.276,-80.28571499,25.7339475
244000,2022,872487,No,87270000,"SR 9A/I-95, 200' S MIAMI-DADE/BROWARD CO LINE",Y,Portable,6,87,Miami-Dade,6,9,50.7,4.3,17.198,-80.16572792,25.97381288
10000,2022,876007,Yes,87003109,"RAMP 87003109 FROM WB SR112 TO NB OKEECHOBEE, 900' W OF SR 112",Y,Portable,6,87,Miami-Dade,6,8,99.9,15.9,0.17,-80.25632289,25.81071041
9300,2022,876131,Yes,87200090,"RAMP 87200090 FROM NB NW 57 AVE TO EB SR836, 400' E OF NW 57 AVE",Y,Portable,6,87,Miami-Dade,6,8,99.9,12.6,0.076,-80.28718904,25.78402671
62000,2022,872537,Yes,87090000,"SR 25/US-27/OKEECHOBEE RD, 1600' SE OF NW 95 ST.",Y,Portable,6,87,Miami-Dade,6,9,54.7,12.6,10.112,-80.32405444,25.85515631
24000,2022,870115,No,87080347,SR 934/NORMANDY DR. WB. 100' W RUE VERSAILLES.,Y,Portable,6,87,Miami-Dade,6,9,99.9,6.8,0.09,-80.12938105,25.8557862
14000,2022,878480,No,87000319,"NW 119 ST/E 65 ST, 200 FT E OF LEJEUNE RD/SR-953 (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.9,0.038,-80.26658717,25.88181212
20500,2022,871181,Yes,87281000,"SR 953/LEJEUNE RD, 1100' N OF NW 119 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,13.3,10.915,-80.26723625,25.88464019
17900,2022,875083,No,87090000,"SR 25/US-27/NW 36 ST, 200' W NW 12 AV",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.2,17.941,-80.2167868,25.80977789
19600,2022,870582,Yes,87070000,"SR 997/KROME AV, 800' N SR 90/US-41",Y,Portable,6,87,Miami-Dade,6,9.5,56.5,17.8,0.152,-80.48148845,25.76317617
32000,2022,876071,Yes,87075302,"RAMP 87075302 FROM EB I-75 OFF RAMP TO SB ON RAMP 87260322, 1100' E OF I-75",Y,Portable,6,87,Miami-Dade,6,8,99.9,9.9,0.208,-80.32884699,25.8974825
9100,2022,870106,No,87080001,NW 81 ST/ONE-WAY-PAIR WB. 300' W NW 7 AVE.,Y,Portable,6,87,Miami-Dade,6,9,99.9,6.8,2.23,-80.20762424,25.84893156
1750,2022,873020,Yes,87000060,"NW 27 ST, 300 E OF NW 42 AVE.",Y,Portable,6,87,Miami-Dade,6,9,54.7,12.5,0.057,-80.26346842,25.80023974
58500,2022,870528,Yes,87090000,"SR 25/US-27/OKEECHOBEE RD, 200' SE SR 826",Y,Portable,6,87,Miami-Dade,6,9,54.7,9.7,10.374,-80.32078826,25.85275049
18900,2022,875077,Yes,87090000,"SR 25/US-27/NW 36 ST, 200' E I-95",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.7,18.774,-80.20368683,25.81018953
19000,2022,870599,Yes,87260902,"SR 826/PALMETTO EXPWY, 700' S NW 58 ST - EXPRESS LANES",Y,Portable,6,87,Miami-Dade,6,9,99.9,1.1,5.869,-80.32182235,25.82516568
1200,2022,876058,Yes,87021010,"RAMP 87021010 FROM EB SR878 TO SB US-1, 100' E OF SR 878",Y,Portable,6,87,Miami-Dade,6,8,99.9,7,0.019,-80.30366386,25.69323783
18500,2022,870103,No,87080001,NE 82ST/ONE-WAY-PAIR WB. 750' E NE 7 AVE.,Y,Portable,6,87,Miami-Dade,6,9,99.9,6.8,0.785,-80.18487134,25.85014209
26500,2022,875039,No,87030000,"BRICKELL AVE, 200' N RICKENBACKER CSWY",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.2,8.846,-80.20284368,25.75099561
28500,2022,870545,No,87020000,"SR 5/US-1, 100' N SW 308 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,5.2,3.366,-80.46337793,25.48092809
13000,2022,876047,Yes,87006049,"RAMP 87006049 FROM SR 970 TO SE 2 AVE, 100' W OF SR 970",Y,Portable,6,87,Miami-Dade,6,8,99.9,2.4,0.019,-80.19566541,25.77234399
20300,2022,871146,Yes,87085000,"SR 933/SW/NW 12 AV, 200' N NW 21 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,6.8,3.127,-80.21513816,25.79662912
14600,2022,870058,Yes,87046000,"SR 990/KILLIAN DR, 200' E SW 92 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.6,1.803,-80.34233663,25.66584896
4600,2022,878490,No,87000333,"NW 111 ST, 200 FT E OF NW 2 AVE (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.3,2.064,-80.20132015,25.87681451
19500,2022,876159,Yes,87200119,"RAMP 87200119 FROM WB I-395 TO NB I-95, 200' W OF I-395",Y,Portable,6,87,Miami-Dade,6,8,99.9,9.9,0.038,-80.20122729,25.78923729
32500,2022,872549,No,87054000,"SR 972/SW 22 ST, 100 FT WEST OF SW 17 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.2,2.511,-80.22259496,25.75079262
62000,2022,870332,No,87020000,"SR 5/US-1, 200' S CORAL REEF DR/SW 152 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,5.2,16.225,-80.34118267,25.62847413
151500,2022,875384,Yes,87004000,SR-112/AIRPORT EXPY. 200' W BR. OVER NW 2 AVE,Y,Portable,6,87,Miami-Dade,6,8,56.7,4.3,0.85,-80.20043579,25.81153788
32000,2022,871106,Yes,87039000,"SR 992/CORAL REEF DR, 1050' E SW 99 COURT",Y,Portable,6,87,Miami-Dade,6,9,56.5,6.2,1.831,-80.35115625,25.62863193
116500,2022,872276,No,87005000,"SR 874/S DADE EXPWY, 300' N KILLAN PKWY",Y,Portable,6,87,Miami-Dade,6,9,64.8,5.8,2.443,-80.36323421,25.6738663
14500,2022,875355,Yes,87250000,"SR 944/NW 54 ST, 200' W SR 5/US-1",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.9,5.419,-80.19337516,25.82534843
6000,2022,876129,Yes,87200188,"RAMP 87200188 FROM NB NW 57 AVE TO WB SR836, 200' E OF SR 836",Y,Portable,6,87,Miami-Dade,6,8,99.9,3.6,0.099,-80.29011871,25.78451697
31000,2022,872534,No,87054000,"SR 972/CORAL WAY, 200' E SW 37 AVENUE",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.2,0.546,-80.25401621,25.74982997
43000,2022,870150,Yes,87026000,"SR 860/MIAMI GARDENS DR, 200' E W DIXIE HWY",Y,Portable,6,87,Miami-Dade,6,9,54.7,11.5,9.267,-80.14772285,25.94742143
44500,2022,870012,Yes,87037000,"SR 907/ALTON RD, 200' N OF 20 ST (MIAMI BEACH)",Y,Portable,6,87,Miami-Dade,6,9,54.7,2.8,1.534,-80.13994633,25.7962552
34500,2022,872045,No,87270902,"I-95/SOUTH EXPRESSWAY - EXPRESS LANES, SB 1270' S NW 95 ST",Y,Portable,6,87,Miami-Dade,6,9,99.9,3.1,9.246,-80.2082106,25.85801759
2250,2022,873070,Yes,87000636,"NW 69 AVE, 100'S OF NW 74 ST.",Y,Portable,6,87,Miami-Dade,6,9,54.7,34.1,0.041,-80.30950972,25.83932895
35000,2022,870543,Yes,87020000,"SR 5/US-1, 2500' S PALM DR(FLA CITY)",Y,Portable,6,87,Miami-Dade,6,9,56.5,8.1,0.363,-80.47497232,25.4405298
20500,2022,876084,Yes,87075609,"RAMP 87075609 FROM SB I-75 TO SB FL TURNPIKE, 1000' S OF I-75",Y,Portable,6,87,Miami-Dade,6,8,99.9,11.7,0.189,-80.35229687,25.95382013
12500,2022,870099,Yes,87053000,"SR 968/FLAGLER ST/WB, 200' E NW/SW 7 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.8,8.171,-80.20528503,25.77380253
14400,2022,872547,No,87080900,SR-934/EAST 25 ST. 400' E FLAMINGO WAY,Y,Portable,6,87,Miami-Dade,6,9,54.7,6.8,34.5,-80.27320823,25.84466052
14300,2022,872552,No,87062000,"SR959/SW57AVE/RED ROAD, 200'S OF BIRD ROAD/SR 976",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.1,2,-80.28647242,25.7334556
141000,2022,870405,No,87260000,"SR 826/PALMETTO EXPWY, 1100' E NW 57 AV/SR 823",Y,Portable,6,87,Miami-Dade,6,9,56.7,5.4,19.235,-80.2896375,25.92513493
61500,2022,875229,Yes,87170000,"SR 826/NE 167 ST, 200' W NE 10 AV",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.1,2.007,-80.18034234,25.92716256
39000,2022,871068,Yes,87055000,"SR 986/SUNSET DR, 200' W SR 826",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.8,4.969,-80.31891221,25.70288712
118000,2022,872274,Yes,87005000,"SR 874/S DADE EXPWY, 2500' N TOLL/S KILLIAN PKWY",Y,Portable,6,87,Miami-Dade,6,9,64.8,6.1,1.543,-80.37234506,25.66369234
12000,2022,876106,Yes,87170360,"RAMP 87170360 FROM NB A1A TO WB SUNNY ISLES CS, 300' N OF SR A1A/COLLINS AVE",Y,Portable,6,87,Miami-Dade,6,9,99.9,2.1,0.057,-80.12220607,25.92933134
